Family,Subfamily,Genus,Species,CommonName
,,,Salmo ezenami,
,,,Salmo fahrettini,
,,,Salmo farioides,Balkan Brook Trout
,,,Salmo ferox,
,,,Salmo fibreni,
,,,Salmo ghigii,
,,,Salmo ischchan,Sevan trout
,,,Salmo kottelati,Antalya trout
,,,Salmo labecula,Seyhan trout
,,,Salmo labrax,Black sea salmon
,,,Salmo letnica,Ohrid trout; Lake Ohrid brown trout
,,,Salmo lourosensis,
,,,Salmo lumi,
,,,Salmo macedonicus,Macedonian trout
,,,Salmo macrostigma,
,,,Salmo marmoratus,Marble Trout
,,,Salmo marmoratus x Salmo trutta,
,,,Salmo montenigrinus,
,,,Salmo munzuricus,
,,,Salmo multipunctatus,Draa trout
,,,Salmo nigripinnis,
,,,Salmo obtusirostris,Adriatic trout
,,,Salmo ohridanus,
,,,Salmo okumusi,Okumus trout
,,,Salmo opimus,Opimus trout
,,,Salmo oxianus,
,,,Salmo pallaryi,Lake Sidi Ali trout
,,,Salmo pelagonicus,
,,,Salmo pellegrini,
,,,Salmo peristericus,Prespa trout
,,,Salmo platycephalus,flathead trout
,,,Salmo rhodanensis,Rhone trout
,,,Salmo rizeensis,Rize trout
,,,Salmo salar,Atlantic salmon
,,,Salmo schiefermuelleri,
,,,Salmo stomachicus,
,,,Salmo taleri,
,,,Salmo tigridis,Tigros trout
,,,Salmo trutta,river trout; brown trout; sea trout
,,,Salmo viridis,
,,,Salmo visovacensis,
,,,Salmo zrmanjaensis,
,,,Salmo abanticus complex sp. H1,
,,,Salmo abanticus complex sp. H2,
,,,Salmo caspius complex sp. H1,
,,,Salmo caspius complex sp. H2,
,,,Salmo trutta complex sp. GP-2022,
,,,Salmo trutta complex sp. Lt-2021,
,,Hybrids,,
,,,Oncorhynchus mykiss x Salmo salar,
,,,Salmo trutta x Salvelinus,
,,Salvelinus,,
,,,Salvelinus agassizii,Silver trout
,,,Salvelinus albus,white char
,,,Salvelinus alpinus,Atlantic char
,,,Salvelinus anaktuvukensis,Angayukaksurak char
,,,Salvelinus andriashevi,Chukot char
,,,Salvelinus boganidae,Boganida char
,,,Salvelinus colii,
,,,Salvelinus confluentus,bull trout
,,,Salvelinus curilus,
,,,Salvelinus czerskii,
,,,Salvelinus drjagini,Dryanin's char
,,,Salvelinus elgyticus,small-mouth char
,,,Salvelinus evasus,
,,,Salvelinus faroensis,
,,,Salvelinus fimbriatus,
,,,Salvelinus fontinalis,brook trout
,,,Salvelinus fontinalis x Salvelinus malma,
,,,Salvelinus gracillimus,
,,,Salvelinus grayi,
,,,Salvelinus gritzenkoi,
,,,Salvelinus inframundus,
,,,Salvelinus jacuticus,Yakutian char
,,,Salvelinus japonicus,
,,,Salvelinus killinensis,
,,,Salvelinus krogiusae,
,,,Salvelinus kronocius,
,,,Salvelinus kuznetzovi,
,,,Salvelinus lepechini,
,,,Salvelinus leucomaenis,whitespotted char; white spotted char
,,,Salvelinus levanidovi,
,,,Salvelinus lonsdalii,
,,,Salvelinus mallochi,
,,,Salvelinus malma,Dolly Varden
,,,Salvelinus malma x Salvelinus leucomaenis,
,,,Salvelinus maxillaris,
,,,Salvelinus murta,
,,,Salvelinus namaycush,lake trout
,,,Salvelinus namaycush x Salvelinus fontinalis,
,,,Salvelinus neiva,nieva
,,,Salvelinus neocomensis,
,,,Salvelinus obtusus,
,,,Salvelinus perisii,
,,,Salvelinus profundus,
,,,Salvelinus salvelinoinsularis,
,,,Salvelinus schmidti,
,,,Salvelinus struanensis,
,,,Salvelinus taimyricus,
,,,Salvelinus taranetzi,
,,,Salvelinus thingvallensis,
,,,Salvelinus tolmachoffi,
,,,Salvelinus umbla,
,,,Salvelinus vasiljevae,
,,,Salvelinus willoughbii,
,,,Salvelinus youngeri,
,,Salvethymus,,
,,,Salvethymus svetovidovi,long-finned charr
,Thymallinae,,,grayling
,,Thymallus,,
,,,Thymallus aeliani,
,,,Thymallus arcticus,Arctic grayling
,,,Thymallus baicalensis,Baikal black grayling
,,,Thymallus bailolenensis,
,,,Thymallus brevicephalus,
,,,Thymallus brevipinnis,
,,,Thymallus brevirostris,Mongolian grayling
,,,Thymallus burejensis,
,,,Thymallus flavomaculatus,Yellow spotted grayling
,,,Thymallus grubii,Amur grayling
,,,Thymallus ligericus,
,,,Thymallus mertensii,
,,,Thymallus nigrescens,Kosogol grayling
,,,Thymallus nikolskyi,
,,,Thymallus pallasii,East Siberian grayling
,,,Thymallus svetovidovi,
,,,Thymallus thymallus,European grayling
,,,Thymallus tugarinae,lower Amur grayling
,,,Thymallus yaluensis,
